,predicted_mean
75193,-18.29215146030077
75194,-18.292130189289107
75195,-18.29210904657078
75196,-18.292088031372
75197,-18.292067142923653
75198,-18.292046380461255
75199,-18.292025743224944
75200,-18.292005230459434
75201,-18.291984841413992
75202,-18.29196457534242
75203,-18.291944431503016
75204,-18.291924409158554
75205,-18.29190450757625
75206,-18.291884726027742
75207,-18.291865063789068
75208,-18.291845520140622
75209,-18.291826094367142
75210,-18.291806785757682
75211,-18.291787593605584
75212,-18.29176851720845
75213,-18.291749555868112
75214,-18.29173070889063
75215,-18.291711975586235
75216,-18.29169335526932
75217,-18.29167484725842
75218,-18.291656450876175
75219,-18.29163816544931
75220,-18.291619990308615
75221,-18.291601924788907
75222,-18.291583968229027
75223,-18.291566119971797
75224,-18.291548379364002
75225,-18.291530745756372
75226,-18.291513218503546
75227,-18.291495796964057
75228,-18.291478480500313
75229,-18.291461268478564
75230,-18.291444160268878
75231,-18.29142715524513
75232,-18.291410252784964
75233,-18.291393452269784
75234,-18.291376753084716
75235,-18.29136015461861
75236,-18.291343656263983
75237,-18.291327257417034
75238,-18.29131095747759
75239,-18.29129475584911
75240,-18.291278651938637
75241,-18.2912626451568
75242,-18.291246734917777
75243,-18.29123092063929
75244,-18.29121520174256
75245,-18.291199577652307
75246,-18.291184047796715
75247,-18.291168611607425
75248,-18.291153268519494
75249,-18.2911380179714
75250,-18.291122859404997
75251,-18.29110779226551
75252,-18.291092816001512
75253,-18.291077930064898
75254,-18.291063133910868
75255,-18.29104842699791
75256,-18.29103380878778
75257,-18.29101927874548
75258,-18.291004836339237
75259,-18.29099048104048
75260,-18.290976212323837
75261,-18.2909620296671
75262,-18.290947932551205
75263,-18.290933920460226
75264,-18.29091999288135
75265,-18.290906149304845
75266,-18.290892389224073
75267,-18.290878712135427
75268,-18.290865117538363
75269,-18.290851604935337
75270,-18.290838173831812
75271,-18.290824823736237
75272,-18.290811554160026
75273,-18.29079836461753
75274,-18.29078525462604
75275,-18.290772223705755
75276,-18.290759271379766
75277,-18.290746397174043
75278,-18.290733600617415
75279,-18.290720881241544
75280,-18.290708238580937
75281,-18.290695672172884
75282,-18.290683181557483
75283,-18.2906707662776
75284,-18.29065842587886
75285,-18.290646159909624
75286,-18.290633967920986
75287,-18.290621849466735
75288,-18.290609804103358
75289,-18.290597831390023
75290,-18.290585930888547
75291,-18.290574102163394
